id,genre,popularity,duration,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
2YGHCHkWTbtCUTjL0LUXtx,emo rap,73,177160,0.598,0.683,0,0.319,-6.588,0,0.054,135.982,0.122
7o3Mcis1uKcYDuuJD1W0Rm,canadian contemporary r&b,63,301594,0.585,0.757,0,0.273,-4.752,0,0.0599,78.018,0.208
6oaQuXiRKqQq9ITJBV1XmC,dance pop,67,267117,0.498,0.764,0.0104,0.156,-8.096,1,0.0382,115.975,0.0557
5i7ThJfYLAzp2DyZuFpF6j,dance pop,77,213671,0.58,0.908,4.84E-05,0.087,-5.303,1,0.0341,115.016,0.427
5e9TFTbltYBg2xThimr0rU,album rock,82,270213,0.545,0.67,0.000822,0.0451,-8.81,1,0.0496,151.553,0.481
2gTdDMpNxIRFSiu7HutMCg,ohio hip hop,82,169397,0.628,0.744,0,0.313,-4.718,1,0.0379,119.921,0.277
5SWnsxjhdcEDc7LJjq9UHk,atl hip hop,84,195906,0.819,0.626,0.101,0.167,-4.574,0,0.202,143.01,0.415
4Q34FP1AT7GEl9oLgNtiWj,atl hip hop,80,193838,0.647,0.667,0,0.133,-5.563,1,0.304,172.08,0.704
6pcywuOeGGWeOQzdUyti6k,atl hip hop,74,193591,0.847,0.733,1.04E-05,0.151,-6.439,0,0.16,130.029,0.202
3ruoIF2UnoXdzK8mR61ebq,atl hip hop,76,190331,0.825,0.733,0,0.112,-5.625,0,0.0969,97.974,0.62
7fxSLnklnayJNBIKntXedZ,atl hip hop,69,185036,0.774,0.706,1.28E-06,0.104,-6.494,1,0.355,152.891,0.382
3CDVMejYHnB1SkEEx0T1N4,atl hip hop,70,201856,0.635,0.793,0.747,0.113,-4.333,0,0.0322,77.594,0.281
3WaDoMDQRqDdgtCDLxanpN,atl hip hop,62,187772,0.821,0.671,8.50E-05,0.0972,-5.893,1,0.18,145.953,0.494
5KCbr5ndeby4y4ggthdiAb,canadian pop,83,172692,0.333,0.637,1.80E-05,0.149,-4.904,0,0.0581,139.898,0.132
5UpXJ75CXod4PCoBQP6MAP,atl hip hop,55,70044,0.427,0.473,0.369,0.527,-11.104,1,0.15,80.972,0.654
42Tohunwlh34o0mgxYx5iq,atl hip hop,65,181715,0.831,0.532,0,0.464,-5.319,0,0.301,140.105,0.364
4SCnCPOUOUXUmCX2uHb3r7,kentucky hip hop,73,198821,0.714,0.582,0,0.0774,-7.272,0,0.0808,92.819,0.338
4V9ynsDPwHtdItksqjuRu0,atl hip hop,66,202420,0.697,0.709,0.000296,0.0886,-6.642,0,0.298,155.023,0.439
7iAgNZdotu40NwtoIWJHFe,k-pop,72,161167,0.653,0.662,0,0.0626,-6.168,1,0.162,111.712,0.674
2y3mrzWEWaAFqb2jf5fED8,atl hip hop,57,57073,0.607,0.371,0.000164,0.403,-14.255,0,0.894,102.481,0.945
7FtZFla3ZH6PqsAJ9MvVCM,atl hip hop,62,140832,0.849,0.635,8.44E-06,0.062,-4.068,1,0.254,89.484,0.798
50I7FNN2rl2rWiNwGxS146,atl hip hop,65,194214,0.823,0.703,1.35E-06,0.294,-2.691,1,0.298,178.043,0.26
1wGnp7ejkCuXRsehXx0PNP,atl hip hop,66,214192,0.63,0.399,0.174,0.234,-9.869,0,0.178,183.016,0.0657
4Ws314Ylb27BVsvlZOy30C,k-pop,80,194765,0.654,0.707,0,0.0873,-5.661,1,0.0664,127.97,0.448
4SVTus5gJc5cfkFZ8ELK1p,kentucky hip hop,60,179976,0.374,0.577,5.60E-06,0.562,-7.085,1,0.302,184.201,0.0658
11XegnWeJHBDtj9IsNwngu,atl hip hop,64,231831,0.775,0.566,0.000341,0.127,-6.661,1,0.283,160.351,0.479
1LV5cAo02H8h5YlZNcjULM,kentucky hip hop,63,170053,0.605,0.489,2.36E-06,0.187,-7.234,0,0.174,147.341,0.326
1XnpzbOGptRwfJhZgLbmSr,k-pop,79,201122,0.701,0.556,0.000122,0.106,-7.42,0,0.0414,152.045,0.333
1zmv0tPVWdbCuvBw90MYwO,kentucky hip hop,56,174093,0.741,0.64,8.55E-05,0.138,-6.452,0,0.405,179.095,0.893
0LLsvPLHxlUk1x8r77H2b6,kentucky hip hop,57,214731,0.758,0.613,4.36E-05,0.111,-4.851,0,0.37,145.756,0.491
